brand,categories,name,reviews.rating,reviews.date
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-01-12 00:00:00+00:00
Amazon,Amazon Devices,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,
Amazon,Amazon Devices,Fire Kids Edition Tablet,4.0,2016-07-13 00:00:00+00:00
Amazon,Amazon Devices,Fire Kids Edition Tablet,1.0,2016-02-04 00:00:00+00:00
Amazon,Amazon Devices,Fire Kids Edition Tablet,3.0,2015-10-13 00:00:00+00:00
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,3.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Fire HD 10 Tablet with Alexa,5.0,
Amazon,Amazon Devices,Echo Show - Black,4.0,2017-07-01 00:00:00+00:00
Amazon,Amazon Devices,Echo Show - Black,4.0,2017-06-29 00:00:00+00:00
Amazon,Amazon Devices,Echo Show - Black,5.0,
Amazon,Amazon Devices,Echo Show - Black,3.0,2017-06-29 00:00:00+00:00
Amazon,Amazon Devices,Echo Show - Black,3.0,2017-06-29 00:00:00+00:00
Amazon,Amazon Devices,Echo Show - Black,5.0,2017-06-30 00:00:00+00:00
Amazon,Amazon Devices,Echo Show - Black,5.0,2017-06-30 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,5.0,2016-12-02 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,3.0,2017-01-10 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,5.0,2016-11-19 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,5.0,2017-03-17 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,3.0,2017-02-07 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,3.0,2016-11-21 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,3.0,2017-05-21 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Fire HD 10 Tablet,5.0,2016-12-23 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,4.0,2017-06-21 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,5.0,2017-06-25 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,5.0,2017-07-05 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,5.0,2017-07-14 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,1.0,2017-07-01 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,4.0,2017-07-13 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle E-reader - Black,1.0,2017-05-12 00:00:00+00:00
Amazon,Amazon Devices,Kindle Voyage E-reader,5.0,
Amazon,Amazon Devices,Kindle Voyage E-reader,5.0,2014-10-23 00:00:00+00:00
Amazon,Amazon Devices,Kindle Voyage E-reader,3.0,2014-10-22 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
Amazon,Amazon Devices,Kindle Paperwhite E-reader - Black,5.0,
